productname,brandname,gst,return_policy
After Shave Lotion,gilette,18.00,replaceable
Amla Hair Oil,Dabur,18.00,replaceable
Bath Soap,Cinthol,18.00,replaceable
bathing bar,Dove,18.00,non-returnable non-replaceable
bathing soap,pears,18.00,non-returnable non-replaceable
Beauty Gel for Skin,wow,18.00,refundable
classic shave foam,gilette,18.00,replaceable
Coconut Hair Oil,Parachute Advansed,18.00,non-returnable non-replaceable
colgate dental floss,colgate,18.00,non-returnable non-replaceable
Dabur Red Paste,Dabur,18.00,refundable
Deodorant Spray Perfume,set wet,18.00,non-returnable non-replaceable
Disinfectant Toilet Cleaner,Harpic,18.00,refundable
gentle baby shampoo,johnson ,18.00,refundable
Golden Beauty Alpine Dew Talc,golden beauty,18.00,non-returnable non-replaceable
Hair Fall Rescue Shampoo,Dove,18.00,replaceable
Light Moisturiser,ponds,18.00,non-returnable non-replaceable
Liquid Hand wash,Dettol,18.00,replaceable
Milk Soap,Santoor,18.00,refundable
Cake,Britannia,5.00,non-returnable non-replaceable
Milk Soft Cream,LAKME,18.00,refundable
Oil Bottle,Parachute,18.00,replaceable
Oral-B Essential Floss,Oral-B,18.00,refundable
Recharge Deodorant,Axe,18.00,non-returnable non-replaceable
shampoo,clinic plus,18.00,replaceable
signature Deodorant,Fogg,18.00,replaceable
Sport Deodorant,engage,18.00,refundable
Talcum Powder,ponds,18.00,non-returnable non-replaceable
3 min Vegetable Upma,MTR,5.00,refundable
Aloo Bhujia,Haldiram,5.00,non-returnable non-replaceable
Amul Rasmalai,Amul,5.00,refundable
Basa Fish Fillets,Big Sams,5.00,refundable
Bhuira Jam,Bhuira,5.00,refundable
Bhujia Sev,Haldiram,5.00,replaceable
Biscotti,Fresho Signature,5.00,replaceable
Biscuits Cashew Nuts,Tasties,5.00,non-returnable non-replaceable
Britannia Premium Bake Rusk,Britannia,5.00,non-returnable non-replaceable
Britte Grated Coconut,Britte,5.00,replaceable
Butter by PDF,Parsi Dairy Farm,5.00,refundable
Butter Cookies by FS,Royal Dansk,5.00,refundable
Cerelac,Nestle,5.00,non-returnable non-replaceable
Chana Choor,Haldiram,5.00,non-returnable non-replaceable
Cheese Spread,Britannia,5.00,refundable
Cow Ghee by PDF,Parsi Dairy Farm,5.00,non-returnable non-replaceable
Dairy Milk Chocolate Spread,Cadbury,5.00,replaceable
Delishh Blueberries,Delishh,5.00,non-returnable non-replaceable
Delishh Stawberries,Delishh,5.00,refundable
Fresho Chocochip,Fresho,5.00,refundable
Fresho Frozen Corn,Fresho,5.00,non-returnable non-replaceable
Fresho Mixed Vegetables ,Fresho,5.00,refundable
Fresho Multigrain Bread,Fresho,5.00,non-returnable non-replaceable
Good Day,Britannia,5.00,replaceable
Happy Potatoes,McCain,5.00,refundable
Hara Bhara Veg Kabab,Safal,5.00,replaceable
Instant Bhel,Haldiram,5.00,replaceable
Khatai,Tasties,5.00,refundable
Khatta Meetha,Haldiram,5.00,refundable
Kissan Fresh Tomato Ketchup,Kissan,5.00,refundable
Kissan Jam,Kissan,5.00,non-returnable non-replaceable
Little Hearts,Britannia,5.00,non-returnable non-replaceable
Maggi Atta Noodles,Nestle,5.00,refundable
Maggi Cuppa Noodles,Nestle,5.00,refundable
Maggi Noodles,Nestle,5.00,non-returnable non-replaceable
Marie Gold,Britannia,5.00,refundable
Masti Dahi,Amul,5.00,non-returnable non-replaceable
McCain Aloo Tikki,McCain,5.00,replaceable
McCain Burger Patty,McCain,5.00,replaceable
McCain French Fries,McCain,5.00,replaceable
McCain Smiles,McCain,5.00,refundable
Milk Bikis Biscuits,Britannia,5.00,refundable
Millet Cookies,Millet,5.00,replaceable
Mini Samosa - Cheese Pizza,McCain,5.00,replaceable
Moong Dal,Haldiram,5.00,non-returnable non-replaceable
Mother Dairy Fruit Yoghurt,Mother Dairy ,5.00,refundable
MTR Pickle,MTR,5.00,refundable
Navratan Mixture,Haldiram,5.00,replaceable
Nutri Choice Biscuits,Britannia,5.00,non-returnable non-replaceable
Nutri Choice Oats,Britannia,5.00,non-returnable non-replaceable
Oreo Biscuits,Cadbury,5.00,refundable
Parle Rusk,Parle,5.00,replaceable
Pasta Treat,Sunfeast ,5.00,refundable
Pickle Mix Vegetable,MTR,5.00,refundable
Potato Bites,McCain,5.00,refundable
Priya Pickle,Priya,5.00,replaceable
Ragulla Tin,GITS,5.00,non-returnable non-replaceable
Safal Green Peas,Safal,5.00,non-returnable non-replaceable
Snakart Veg Momos,Snakart,5.00,replaceable
Spread Cocoa,Hersheys,5.00,refundable
Sundrop Peanut Butter,Sundrop,5.00,replaceable
Swaad Spring Rolls,Swaad,5.00,replaceable
Swiss Roll,Winkies,5.00,replaceable
Synthetic Vinegar,Double Horse,5.00,replaceable
Tasties Biscuits,Tasties,5.00,replaceable
Tasties Khari,Tasties,5.00,non-returnable non-replaceable
Tasty Nuts,Haldiram,5.00,replaceable
Tea,Red Label,5.00,replaceable
Toned Milk - Taaza,Amul,5.00,replaceable
Too Yumm Foxnuts,Too Yumm,5.00,replaceable
Treat Biscuits,Britannia,5.00,refundable
Veggie-Fingers,McCain,5.00,non-returnable non-replaceable
Yummies Nuggets,Yummies,5.00,replaceable
cotton shirt,american crew,5.00,non-returnable non-replaceable
formal shirt,craftcity,5.00,non-returnable non-replaceable
tshirt,gritstone,5.00,replaceable
cotton track pant,fabdon,5.00,replaceable
jeans pant,verito,5.00,refundable
jacket,qube,5.00,refundable
denim jacket,rohan,5.00,replaceable
one piece dress,aara,5.00,refundable
rayon dress,amayra,5.00,refundable
synthetic dress,rigo,5.00,non-returnable non-replaceable
slimfit tshirt,raglan,5.00,refundable
sport tshirt,nike,5.00,replaceable
collar tshirt,puma,5.00,replaceable
cotton trouser,ben martin,5.00,refundable
formal blazer,manq,5.00,replaceable
straight kurta,myx,5.00,non-returnable non-replaceable
